,age,workclass,fnlwgt,education,educationN,maritalStatus,occupation,relationship,race,sex,country,timeWork,weight_change,social_status
0,39,State-gov,77.516,Bachelors,13,Never-married,Adm-clerical,Single,White,Male,USA,full time,2.174,Poor
1,50,Self-emp-not-inc,83.311,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,part time,0.0,Poor
2,38,Private,215.646,HS-grad,9,Divorced,Handlers-cleaners,Single,White,Male,USA,full time,0.0,Poor
3,53,Private,234.721,11th,7,Married-civ-spouse,Handlers-cleaners,Taken,Black,Male,USA,full time,0.0,Poor
4,28,Private,338.409,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,Black,Female,CU,full time,0.0,Poor
5,37,Private,284.582,Masters,14,Married-civ-spouse,Exec-managerial,Taken,White,Female,USA,full time,0.0,Poor
6,49,Private,160.187,9th,5,Married-spouse-absent,Other-service,Taken,Black,Female,JM,part time,0.0,Poor
7,52,Self-emp-not-inc,209.642,HS-grad,9,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
8,31,Private,45.781,Masters,14,Never-married,Prof-specialty,Single,White,Female,USA,over time,14.084,Rich
9,42,Private,159.449,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,5.178,Rich
10,37,Private,280.464,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,Black,Male,USA,too much,0.0,Rich
11,30,State-gov,141.297,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,Asian-Pac-Islander,Male,IN,full time,0.0,Rich
12,23,Private,122.272,Bachelors,13,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
13,32,Private,205.019,Assoc-acdm,12,Never-married,Sales,Single,Black,Male,USA,over time,0.0,Poor
14,40,Private,121.772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Taken,Asian-Pac-Islander,Male,PH,full time,0.0,Rich
15,34,Private,245.487,7th-8th,4,Married-civ-spouse,Transport-moving,Taken,Amer-Indian-Eskimo,Male,MX,over time,0.0,Poor
16,25,Self-emp-not-inc,176.756,HS-grad,9,Never-married,Farming-fishing,Single,White,Male,USA,full time,0.0,Poor
17,32,Private,186.824,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Male,USA,full time,0.0,Poor
19,43,Self-emp-not-inc,292.175,Masters,14,Divorced,Exec-managerial,Single,White,Female,USA,over time,0.0,Rich
20,40,Private,193.524,Doctorate,16,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
21,54,Private,302.146,HS-grad,9,Separated,Other-service,Single,Black,Female,USA,part time,0.0,Poor
22,35,Federal-gov,76.845,9th,5,Married-civ-spouse,Farming-fishing,Taken,Black,Male,USA,full time,0.0,Poor
23,43,Private,117.037,11th,7,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,full time,-2.042,Poor
